Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
C4orf3	NM_001001701	0,248876	-2,26264	0,00348519	-19,6311	0,0148884	-8,6762
CHMP4C	NM_152284	0,526457	-1,17	0,00431108	-2,82984	0,00916247	-2,41867
RCAN3	NM_013441	0,385665	-1,20521	0,00390706	-2,47723	0,0112193	-2,05544
BTG2	NM_006763	0,667898	-1,11107	0,00476798	-2,76916	0,00789618	-2,49234
CARHSP1	NM_001042476	0,0720579	-2,11153	0,00303464	-5,16491	0,0401748	-2,44605
POLR2F	NM_021974	0,135848	-2,11426	0,00320375	-7,84023	0,0235707	-3,70826
ERRFI1	NM_018948	0,792716	-1,10079	0,00519802	-4,4654	0,00706592	-4,05653
LMO7	NM_005358	0,157232	-1,68403	0,00329109	-4,56848	0,0212712	-2,71283
ADK	NM_006721	0,513099	-1,14321	0,00433471	-2,35561	0,0094665	-2,06053
TLE4	NM_007005	0,278895	-1,29896	0,00367058	-2,75134	0,0142261	-2,1181
YTHDC1	NM_001031732	0,770747	-1,07782	0,00523607	-2,8595	0,00736872	-2,65305
PPP1R12A	NM_002480	0,546702	-1,13148	0,00452542	-2,34633	0,00928646	-2,07369
NFIB	NM_005596	0,835563	1,06494	0,00701352	-3,20536	0,00550079	-3,41352
IVNS1ABP	NM_006469	0,406837	-1,41072	0,00411135	-5,67259	0,0112782	-4,02107
SLAIN2	NM_020846	0,450101	-1,24579	0,00424058	-3,37405	0,010559	-2,70835
CSE1L	NM_001316	0,445604	-1,22367	0,00424699	-3,01939	0,010684	-2,46748
ANXA7	NM_004034	0,148787	-1,66633	0,00337645	-4,24065	0,0231138	-2,5449
PI15	NM_015886	0,740575	1,16469	0,00781249	-5,59938	0,00528835	-6,52152
UBAP1	NM_016525	0,242886	-1,39357	0,00374371	-3,23932	0,0165789	-2,32448
ADNP	NM_015339	0,119412	-1,71963	0,00338946	-4,04805	0,0285525	-2,35402
FAM127A	NM_001078171	0,149363	2,25794	0,0242241	-4,36877	0,00351716	-9,8644
NP	NM_000270	0,575431	1,17471	0,00963993	-2,76421	0,00492592	-3,24714
HP1BP3	NM_016287	0,878506	1,03278	0,00725759	-2,23794	0,00606103	-2,31131
RTN4	NM_020532	0,13846	-1,55123	0,00355575	-3,29211	0,0263669	-2,12225
ERLIN1	NM_006459	0,562146	1,12676	0,00994688	-2,05907	0,004954	-2,32008
SLC44A1	NM_080546	0,423667	-1,18815	0,00450286	-2,42648	0,0119984	-2,04223
C17orf49	NM_001142798	0,381933	1,25854	0,0130144	-2,34028	0,00441665	-2,94533
HIBCH	NM_014362	0,153762	-1,53021	0,00368876	-3,31728	0,0250009	-2,16786
VPS36	NM_016075	0,0909768	-1,98423	0,00354456	-4,85665	0,0391911	-2,44762
CHD9	NM_025134	0,851863	-1,03694	0,00624385	-2,15067	0,00779218	-2,07406
LDLR	NM_000527	0,451918	1,1763	0,0120291	-2,04886	0,00478487	-2,41007
DEGS1	NM_003676	0,314782	-1,39402	0,00434728	-3,84428	0,0154329	-2,7577
RAB27B	NM_004163	0,187593	-1,508	0,00398332	-3,49367	0,0227694	-2,31675
RNASEK	NM_001004333	0,773877	-1,08681	0,00612363	-3,1417	0,00863073	-2,89076
RRM2	NM_001034	0,361532	-1,65931	0,00462293	-9,49465	0,014469	-5,72206
CHMP4A	NM_014169	0,792346	-1,05159	0,00626139	-2,1208	0,00857606	-2,01675
GTF2A1	NM_015859	0,827304	-1,04339	0,00643107	-2,14326	0,00834419	-2,05413
INTS6	NM_012141	0,315897	1,28841	0,0160414	-2,15667	0,00450869	-2,77867
SF3B3	NM_012426	0,697149	1,09056	0,0094062	-2,22096	0,00589351	-2,42209
TMBIM1	NM_022152	0,323908	-1,569	0,00455653	-6,33159	0,0158474	-4,03544
SMC3	NM_005445	0,138203	-1,57689	0,00394928	-3,34847	0,0300919	-2,12347
TRIM13	NM_213590	0,694403	1,08749	0,00976414	-2,13442	0,00607879	-2,32117
CD9	NM_001769	0,124819	-1,7736	0,0040134	-4,27485	0,033836	-2,41027
MAT2A	NM_005911	0,201771	-1,74659	0,00429629	-5,66451	0,023281	-3,24319
PLK2	NM_006622	0,0672172	-2,22505	0,00400665	-5,06127	0,0617713	-2,27467
MAPK6	NM_002748	0,671467	1,22155	0,0104578	-5,19576	0,00624849	-6,3469
LIN7B	NM_022165	0,543133	1,17027	0,0123469	-2,36705	0,00584057	-2,7701
FAM3B	NM_058186	0,964298	-1,01332	0,00787121	-3,03182	0,00830746	-2,99198
GNA15	NM_002068	0,545647	1,14566	0,0124809	-2,11297	0,0059261	-2,42074
MPP5	NM_022474	0,992208	1,00212	0,00820321	-2,23725	0,00810714	-2,24198
CCDC144A	NM_014695	0,0597271	-2,33953	0,00422606	-5,16008	0,074495	-2,2056
MTMR1	NM_003828	0,975858	-1,0057	0,00812635	-2,01452	0,00842899	-2,0031
TUBA1B	NM_006082	0,0377247	-8,21302	0,00439829	-33,6603	0,125511	-4,09841
LDHB	NM_002300	0,12918	-2,43374	0,00442329	-9,40037	0,0369497	-3,86252
SLMO2	NM_016045	0,155185	-1,62791	0,00456283	-3,74114	0,0321816	-2,29813
CYCS	NM_018947	0,335607	-1,35624	0,0052675	-3,46599	0,0180769	-2,55559
BUD31	NM_003910	0,639329	-1,14869	0,00654369	-3,14206	0,0116286	-2,73535
CLPX	NM_006660	0,858932	1,05598	0,00947835	-3,00973	0,00763924	-3,17822
CLEC2B	NM_005127	0,37684	-1,2702	0,00549715	-2,88758	0,0169002	-2,27333
ALDH7A1	NM_001182	0,732092	-1,21382	0,00705663	-8,71352	0,010719	-7,17862
MPZL3	NM_198275	0,503325	1,23668	0,0140317	-2,78056	0,0060905	-3,43868
HIATL1	NM_032558	0,41078	-1,27836	0,00575463	-3,20255	0,0163001	-2,50519
GRPEL2	NM_152407	0,59648	-1,15195	0,00656961	-2,8022	0,0126411	-2,43257
LOC100132319	AF315716	0,283467	1,58151	0,0214928	-3,3237	0,00529798	-5,25648
ZNF460	NM_006635	0,159256	-1,66856	0,00482984	-3,99763	0,0336478	-2,39585
EIF3H	NM_003756	0,32646	-1,55439	0,00559905	-5,69627	0,0199268	-3,66462
PAIP2	NM_001033112	0,117022	-1,6795	0,00477371	-3,43938	0,0447047	-2,04786
KRAS	NM_033360	0,63747	-1,10548	0,00704426	-2,24886	0,0126228	-2,03428
COX7A2	NM_001865	0,0355077	-7,63166	0,00494513	-25,9241	0,155182	-3,39691
MRPL51	NM_016497	0,0393292	-6,27143	0,00492366	-20,6837	0,13887	-3,29808
SEPP1	NM_001093726	0,25395	-1,54834	0,00542042	-4,35151	0,0245819	-2,81043
IDH3A	NM_005530	0,34772	-1,28262	0,00588631	-2,7697	0,0198079	-2,15941
C17orf61	BC030270	0,741692	-1,10352	0,00783723	-3,0568	0,0117722	-2,77004
CCT2	NM_006431	0,233808	-1,43688	0,00545701	-3,19087	0,0268592	-2,22069
RAB2A	NM_002865	0,522421	-1,24679	0,0067827	-3,71779	0,0151629	-2,98189
STIP1	NM_006819	0,111775	-1,8623	0,0050691	-4,20685	0,0503777	-2,25896
CEBPG	NM_001806	0,697529	-1,08377	0,00777641	-2,16776	0,0125949	-2,00021
ATP5C1	NM_001001973	0,283267	-1,53695	0,00582208	-4,59121	0,0239984	-2,98723
FAM96B	NR_024525	0,481027	-1,26032	0,00674632	-3,47916	0,0164838	-2,76054
EIF3K	NM_013234	0,322121	-1,38804	0,00604908	-3,52417	0,0220675	-2,53895
MKI67IP	NM_032390	0,605922	1,14062	0,014194	-2,28452	0,00744059	-2,60577
GSTA4	NM_001512	0,223528	-1,45501	0,00568577	-3,19139	0,0294609	-2,19338
NCOA3	NM_181659	0,414773	-1,22207	0,00664234	-2,53404	0,0189511	-2,07357
CD44	NM_000610	0,761846	1,10934	0,0123338	-3,17576	0,00846529	-3,523
PMAIP1	NM_021127	0,471792	-1,31379	0,00700325	-4,16671	0,0175385	-3,17152
C6orf125	AY568085	0,943917	-1,01693	0,00994634	-2,33871	0,0108526	-2,29978
USP6NL	NM_014688	0,749468	-1,09866	0,00872702	-2,93254	0,0130005	-2,66919
TWF1	NM_002822	0,852397	-1,03883	0,00955908	-2,08465	0,0120521	-2,00673
MED14	NM_004229	0,977312	1,00573	0,010908	-2,01468	0,0105289	-2,02623
TRIM16	NM_006470	0,11259	1,77558	0,0575924	-2,06306	0,00568054	-3,66314
ETS2	NM_005239	0,462706	-1,3444	0,00742597	-4,46138	0,0191061	-3,31848
SPRR2D	NM_006945	0,952535	1,04847	0,0113235	-15,6125	0,010514	-16,3692
GSTP1	NM_000852	0,916123	1,04106	0,0117847	-3,69892	0,0103331	-3,85082
NAB1	NM_005966	0,58059	-1,17563	0,00817214	-2,93068	0,01649	-2,49286
RAB5A	NM_004162	0,978895	-1,00734	0,0110024	-2,6183	0,0113721	-2,59921
VRK1	NM_003384	0,833327	-1,04753	0,00990804	-2,19213	0,0128975	-2,09268
RAD23B	NM_002874	0,32838	-1,28768	0,00697178	-2,59903	0,0254591	-2,01838
BTF3L4	NM_152265	0,245167	-1,60224	0,00674221	-4,39928	0,0328614	-2,74571
DNAJC7	NM_003315	0,658629	-1,12821	0,00922468	-2,66581	0,0161778	-2,36287
CNIH4	NM_014184	0,0832321	-2,39164	0,00642937	-5,57442	0,0906108	-2,33079
FBXO32	NM_058229	0,113394	-1,91581	0,00653502	-4,17994	0,067917	-2,18182
YPEL5	NM_001127401	0,0937053	-2,26536	0,00651721	-5,34221	0,0818406	-2,35822
ANXA2	NM_001002858	0,24919	-1,46369	0,0071819	-3,29402	0,034805	-2,2505
KTN1	NM_182926	0,156929	-1,66412	0,00672606	-3,57989	0,0509783	-2,15121
RAB18	NM_021252	0,984157	1,00658	0,0125816	-3,04575	0,0122699	-3,06578
HIST1H4C	NM_003542	0,204723	-2,05809	0,00703864	-7,64961	0,0413528	-3,71684
PCYOX1	NM_016297	0,614019	1,14588	0,0181262	-2,28132	0,00948513	-2,61412
PPP2R5A	NM_006243	0,365139	-1,27211	0,00804629	-2,60277	0,0268499	-2,04603
PPP1R15A	NM_014330	0,537621	-1,2264	0,00910049	-3,26305	0,0202242	-2,66068
SUCLG1	NM_003849	0,958471	-1,0116	0,0124833	-2,1132	0,0133356	-2,08898
IMP3	NM_018285	0,135503	-2,24778	0,00701897	-6,58785	0,0620643	-2,93083
SERBP1	NM_001018067	0,830376	-1,104	0,0114767	-4,89564	0,0150756	-4,43445
C8orf59	NM_001099670	0,935073	-1,02489	0,0126104	-2,765	0,0139877	-2,69786
JUN	NM_002228	0,129324	-1,81471	0,0071658	-3,87396	0,0666534	-2,13476
AHNAK	NM_001620	0,545089	1,2181	0,0212779	-2,59086	0,00967667	-3,15592
ATP11B	NM_014616	0,427175	1,29264	0,0258164	-2,429	0,00901638	-3,13984
UBL3	NM_007106	0,153707	-1,9715	0,00750548	-5,17592	0,0593441	-2,62538
PPP2R5C	NM_002719	0,611368	-1,13533	0,01041	-2,3874	0,0201249	-2,10283
SUDS3	NM_022491	0,54769	-1,21273	0,00998098	-3,07455	0,0218828	-2,53524
HSN2	NM_213655	0,702989	-1,25	0,0111303	-7,52291	0,0181948	-6,01831
MED21	NM_004264	0,683026	1,20126	0,0189416	-3,90489	0,0111718	-4,69079
SHOC2	NM_007373	0,246305	-1,42421	0,00835947	-2,89405	0,0420105	-2,03204
ATF3	NM_001040619	0,355535	-1,55211	0,00905097	-5,2891	0,0315253	-3,40768
ARL2BP	NM_012106	0,519421	-1,19485	0,0103176	-2,60612	0,0241038	-2,18112
LEO1	NM_138792	0,676887	-1,14895	0,0117137	-3,10785	0,0201386	-2,70495
STK39	NM_013233	0,942023	-1,01636	0,0142597	-2,07579	0,0156597	-2,04238
RAB8B	NM_016530	0,762939	-1,11149	0,0125023	-3,25123	0,0184739	-2,9251
EIF2S3	NM_001415	0,175651	-1,61772	0,00833874	-3,3543	0,058859	-2,07347
PRNP	NM_000311	0,516209	-1,21172	0,0106494	-2,76683	0,0251244	-2,28338
DDX21	NM_004728	0,821571	-1,06376	0,0132328	-2,48798	0,0177141	-2,33885
EFNA5	NM_001962	0,509243	-1,23922	0,0106756	-3,05462	0,0255844	-2,46494
YWHAE	NR_024058	0,419279	-1,34264	0,0101119	-3,51412	0,0299155	-2,61731
	---	0,42469	1,27794	0,0297043	-2,25324	0,0101749	-2,87951
PTN	NM_002825	0,317106	1,45011	0,0375865	-2,47348	0,00951172	-3,58684
FAM33A	NM_182620	0,3523	-1,39838	0,00981612	-3,44984	0,0348746	-2,46703
UBE3A	NM_130839	0,359332	-1,30963	0,00987609	-2,74725	0,0343868	-2,09773
PTGR1	NM_001146108	0,6034	-1,23577	0,0120531	-3,94178	0,0239092	-3,18973
RIT1	NM_006912	0,501797	-1,26161	0,0112635	-3,23322	0,0275796	-2,56277
PIGA	NM_002641	0,874484	-1,0413	0,0148861	-2,29202	0,0182835	-2,20111
UCHL3	NM_006002	0,356158	-1,38917	0,0103985	-3,34838	0,0367787	-2,41035
ZNF426	NM_024106	0,802405	1,06815	0,0200965	-2,206	0,014488	-2,35634
EIF4B	NM_001417	0,647101	-1,29042	0,0129876	-6,34241	0,02376	-4,91498
ZCCHC6	NM_024617	0,38366	-1,28809	0,0111906	-2,64694	0,0368624	-2,05493
PITPNB	NM_012399	0,829431	1,08056	0,0203898	-2,93543	0,0153716	-3,1719
GBP1	NM_002053	0,171433	-1,80191	0,00981354	-4,10355	0,073019	-2,27733
RAB6A	NM_002869	0,651736	1,13611	0,025647	-2,20915	0,0140788	-2,50982
SNRPD1	NM_006938	0,879183	-1,04254	0,0166457	-2,37227	0,0203284	-2,27546
MBNL2	NM_144778	0,724916	-1,09121	0,0148545	-2,22549	0,0236594	-2,03946
EIF3I	NM_003757	0,157183	-1,88196	0,0101945	-4,2382	0,0833095	-2,25201
GARNL1	NM_014990	0,520615	1,25129	0,0314851	-2,50343	0,0132336	-3,13252
HSBP1	NM_001537	0,426546	-1,2544	0,0124275	-2,55298	0,0368632	-2,03522
GABARAPL2	NM_007285	0,442349	-1,25087	0,0125802	-2,60404	0,0358782	-2,08179
USMG5	NM_032747	0,0901574	-3,03629	0,0104389	-7,54268	0,149357	-2,48418
KCTD11	NM_001002914	0,958014	-1,01599	0,0187028	-2,51869	0,0200488	-2,47905
HSPC152	NM_016404	0,220782	-2,14611	0,0113615	-7,47876	0,0669071	-3,4848
C10orf116	NM_006829	0,721771	1,10788	0,0259492	-2,24098	0,0161396	-2,48274
CCT6A	NM_001762	0,205187	-1,58325	0,0114126	-3,19988	0,0724801	-2,02108
DICER1	NM_177438	0,71571	-1,10279	0,0162423	-2,33401	0,0264151	-2,11646
SLC25A33	NM_032315	0,268499	-1,63794	0,011984	-4,21711	0,0580972	-2,57465
GGTA1	NR_003191	0,614951	1,15877	0,0301724	-2,19216	0,0153268	-2,5402
GPNMB	NM_001005340	0,88659	1,04127	0,0226893	-2,28729	0,0187726	-2,3817
DTD1	NM_080820	0,796574	-1,06704	0,0178272	-2,17849	0,0251454	-2,04162
UQCRC2	NM_003366	0,901821	-1,03473	0,0194184	-2,31616	0,0228832	-2,23843
CNOT2	NM_014515	0,922386	1,02829	0,0226129	-2,30811	0,0198622	-2,3734
LYRM5	NM_001001660	0,253855	-1,68585	0,0123946	-4,30752	0,0639816	-2,55511
SNRPB2	NM_003092	0,479639	-1,2282	0,0146871	-2,52071	0,0387565	-2,05236
OGT	NM_181672	0,768751	1,08434	0,0269878	-2,15088	0,0181958	-2,33229
WASF2	NM_006990	0,580417	-1,24392	0,0162231	-3,44355	0,0344153	-2,7683
HBEGF	NM_001945	0,328116	-1,38335	0,0136796	-2,86057	0,0545548	-2,06785
HIST1H1A	NM_005325	0,894139	1,03323	0,0245544	-2,01845	0,0205483	-2,08552
VDAC3	NM_001135694	0,327466	-1,5092	0,0137478	-3,77919	0,0549746	-2,5041
MSL2	NM_018133	0,367789	1,40091	0,0512621	-2,31821	0,0144547	-3,2476
ENO1	NM_001428	0,245821	-1,68457	0,0133986	-4,07461	0,0722473	-2,41878
CKS2	NM_001827	0,487994	1,3331	0,0425262	-2,71561	0,0162998	-3,62017
DHX32	NM_018180	0,427732	-1,28661	0,0156587	-2,68873	0,0473423	-2,08979
SEPT10	NM_144710	0,928007	1,03239	0,0254358	-2,71796	0,0225245	-2,80599
RPL15	NM_002948	0,100617	-3,17688	0,0134885	-7,86261	0,17933	-2,47495
SNW1	NM_012245	0,855354	-1,04756	0,0213853	-2,1267	0,0273417	-2,03014
SUZ12	NM_015355	0,974326	1,00881	0,0246739	-2,1782	0,0236279	-2,19738
PRDX1	NM_002574	0,575973	-1,17501	0,017846	-2,41557	0,0384538	-2,05578
CIRH1A	NM_032830	0,737576	-1,10673	0,0202779	-2,47137	0,0319633	-2,23304
MANSC1	NM_018050	0,320321	-1,4411	0,0152258	-3,10662	0,0630576	-2,15573
CNBP	NM_001127192	0,535795	1,27644	0,0413765	-2,61608	0,0176064	-3,33928
COX6C	NM_004374	0,126536	-4,19128	0,0139867	-15,9742	0,148854	-3,8113
BCL2L2	NM_004050	0,49208	1,22289	0,0444416	-2,0079	0,0171327	-2,45544
SOD1	NM_000454	0,991378	-1,00441	0,0249191	-3,18969	0,0252854	-3,17569
TUBB	NM_178014	0,854139	-1,11277	0,0223822	-5,47725	0,0287042	-4,92219
HMGXB4	NM_005487	0,93893	-1,02116	0,0242602	-2,19041	0,0269091	-2,14504
GPX2	NM_002083	0,840627	1,10316	0,0297374	-3,76494	0,0226392	-4,15332
CHP	NM_007236	0,454253	-1,3484	0,017217	-3,38301	0,0490161	-2,50891
ZBED5	NM_021211	0,316064	-1,53335	0,015777	-3,67714	0,0665414	-2,39811
MRPL35	NM_016622	0,642282	1,16163	0,0376648	-2,25764	0,0199137	-2,62254
LSM14A	NM_001114093	0,951268	-1,01972	0,0258924	-2,46411	0,0281339	-2,41645
RAB14	NM_016322	0,228918	-2,18621	0,0157512	-7,00174	0,093282	-3,20268
ZRSR2	NM_005089	0,204157	-2,88586	0,0156442	-11,9844	0,104162	-4,15279
RPSAP58	NR_003662	0,375379	-1,45863	0,0174703	-3,60205	0,0617309	-2,46948
SPTLC2	NM_004863	0,683009	-1,13363	0,0216532	-2,46193	0,0379518	-2,17172
HIST1H4L	NM_003546	0,609779	1,19408	0,0433206	-2,31934	0,0213565	-2,76946
HMGB2	NM_001130688	0,982436	1,01005	0,0293026	-3,45595	0,0284347	-3,49066
DNTTIP2	NM_014597	0,431048	-1,39434	0,0190656	-3,49986	0,0581243	-2,51004
EIF3A	NM_003750	0,360081	-1,42926	0,0182165	-3,18857	0,067654	-2,23092
IFI27	NM_001130080	0,167403	-1,91009	0,016592	-3,8819	0,136079	-2,03231
TXNL1	NR_024546	0,17111	-1,87438	0,0167612	-3,76982	0,134609	-2,01124
FBXO10	NM_012166	0,540462	-1,28041	0,0208934	-3,26785	0,0491542	-2,55219
GAFA3	AF220235	0,730056	1,1865	0,0386414	-3,48213	0,0240197	-4,13155
GNB2L1	NM_006098	0,629434	-1,1759	0,0223892	-2,6479	0,0437237	-2,25181
ATP5O	NM_001697	0,540174	-1,37714	0,0210404	-4,61438	0,0495543	-3,3507
ARHGAP5	NM_001030055	0,359138	-1,38546	0,0189054	-2,84804	0,0706555	-2,05566
DNAJC8	NM_014280	0,673357	1,16628	0,0420273	-2,44599	0,0234476	-2,85271
SH3BGRL2	NM_031469	0,948652	-1,02392	0,029061	-2,7305	0,0317438	-2,66671
CAPNS2	NM_032330	0,779344	-1,14195	0,0256428	-3,80273	0,0377232	-3,33003
HGSNAT	NM_152419	0,337434	-1,41591	0,0189303	-2,8952	0,0757566	-2,04476
DDX3X	NM_001356	0,506744	-1,28676	0,0218813	-2,99625	0,0558012	-2,32852
SBDS	NM_016038	0,0607861	-10,3992	0,0214628	-23,0609	0,463131	-2,21757
BCLAF1	NM_014739	0,206883	-1,76312	0,0185632	-3,6086	0,124197	-2,04671
PSMC5	NM_002805	0,941127	1,02347	0,0350396	-2,26382	0,0316431	-2,31696
SFRS5	NM_001039465	0,587112	-1,2537	0,0243592	-3,24849	0,0522023	-2,59113
C14orf156	NM_031210	0,421254	-1,57157	0,0218083	-5,00564	0,0689808	-3,18512
PDCD5	NM_004708	0,860592	-1,05663	0,0305521	-2,32995	0,0389684	-2,20509
TEAD1	NM_021961	0,425196	-1,4186	0,0227053	-3,46999	0,0712711	-2,44606
DDT	NM_001355	0,087316	-5,99306	0,0216803	-14,9022	0,339144	-2,48657
SH3PXD2A	NM_014631	0,251719	-2,31002	0,0209626	-7,77116	0,11577	-3,36411
HSP90AA1	NM_005348	0,106364	-3,74139	0,0212791	-8,58588	0,277062	-2,29484
UQCRQ	NM_014402	0,185897	-2,15615	0,0206446	-4,9719	0,155472	-2,30592
TAF15	NM_139215	0,537691	1,23011	0,0600463	-2,08131	0,0250824	-2,56024
C3orf31	AK295839	0,783583	1,09558	0,0462338	-2,21656	0,0314967	-2,42842
C14orf166	NM_016039	0,594891	-1,32039	0,0284548	-4,13964	0,0604416	-3,13516
CSDA	NM_003651	0,824714	1,1185	0,0463176	-3,35921	0,0339724	-3,75729
UNQ1829	AY358798	0,981377	-1,01189	0,0393371	-3,58	0,0406415	-3,53793
SAP18	NM_005870	0,419552	-1,36313	0,0268744	-2,83354	0,086649	-2,07871
NGDN	NM_015514	0,900037	1,03741	0,0456393	-2,02332	0,0382687	-2,09901
EI24	NM_004879	0,530584	-1,327	0,029312	-3,35522	0,0719326	-2,52842
C9orf85	NM_182505	0,362151	-1,45434	0,026724	-3,0285	0,101675	-2,08239
BRCC3	NM_024332	0,923524	1,06241	0,0456613	-4,57392	0,0399052	-4,85938
C3orf10	NM_018462	0,401997	-1,47723	0,0282257	-3,47058	0,0958426	-2,34938
C15orf24	NM_020154	0,241599	-1,75405	0,026372	-3,54777	0,154556	-2,02261
F3	NM_001993	0,545734	1,25978	0,0748681	-2,17375	0,031476	-2,73844
APOOL	NM_198450	0,842626	-1,0706	0,0394757	-2,36984	0,0522329	-2,21357
NQO1	NM_000903	0,967055	-1,01607	0,0439522	-2,56285	0,0465841	-2,52233
PPP1R11	NM_021959	0,665551	-1,15086	0,0350569	-2,31268	0,064841	-2,00952
SUPT16H	NM_007192	0,762638	-1,11883	0,0384839	-2,55534	0,0590432	-2,28393
RPS21	NM_001024	0,797597	1,083	0,0570275	-2,01172	0,0396658	-2,17869
TMEM188	NM_153261	0,971937	-1,01072	0,0462075	-2,07203	0,0485602	-2,05005
IPO7	NM_006391	0,694014	-1,15889	0,0376565	-2,58306	0,0659433	-2,22892
SMAD2	NM_005901	0,952606	-1,02433	0,0464461	-2,63896	0,0505166	-2,57628
USP53	NM_019050	0,595864	1,19928	0,0758453	-2,0049	0,0354469	-2,40443
UBA52	NM_001033930	0,807806	-1,10866	0,0413645	-2,85704	0,058399	-2,57701
H2AFZ	NM_002106	0,176931	-3,06235	0,029532	-7,9911	0,237773	-2,60946
ARL6IP1	NM_015161	0,650658	-1,30373	0,0385417	-4,34858	0,0737099	-3,33549
ATP5G1	NM_005175	0,995389	-1,00213	0,0518166	-2,35138	0,0522431	-2,34638
PWP1	NM_007062	0,746209	-1,12282	0,0425436	-2,40406	0,0675054	-2,14109
SFRS7	NM_001031684	0,586728	-1,31895	0,0382876	-3,5797	0,0837982	-2,71406
LONRF1	NM_152271	0,894919	1,04391	0,0584732	-2,06956	0,0484659	-2,16044
C1orf128	NM_020362	0,875369	1,06853	0,0605325	-2,54525	0,0484263	-2,71968
ARPC1A	NM_006409	0,914783	1,06978	0,0587816	-4,08486	0,0504824	-4,3699
NEDD8	NM_006156	0,277155	-2,89483	0,0342368	-11,3268	0,175968	-3,91276
C11orf48	NM_024099	0,510733	1,31697	0,106367	-2,11252	0,0407908	-2,78212
LSM6	NM_007080	0,310335	-1,71173	0,0368007	-3,66052	0,168227	-2,13849
CBWD3	NM_201453	0,519937	-1,50929	0,0414729	-4,74717	0,10587	-3,14529
NDUFS5	NM_004552	0,961715	1,02313	0,061558	-2,85376	0,0574814	-2,91978
RDX	NM_002906	0,273769	-1,77164	0,0372609	-3,54505	0,194366	-2,001
BZW1	NM_014670	0,563368	-1,26799	0,0440095	-2,68284	0,101872	-2,11581
EIF4H	NM_022170	0,688264	1,26348	0,0884405	-3,08975	0,0495854	-3,90383
CBX3	NM_016587	0,944858	1,02689	0,0686168	-2,25975	0,0621431	-2,32051
TIMM23	NM_006327	0,377588	-1,67879	0,042388	-4,04401	0,157114	-2,40888
EGR2	NM_000399	0,491535	1,3398	0,127311	-2,02691	0,0464444	-2,71564
TRAPPC1	NM_021210	0,90327	-1,05015	0,0625383	-2,4141	0,0744584	-2,29881
GABRP	NM_014211	0,809751	-1,12565	0,0617664	-2,93969	0,0873839	-2,61155
ZNF121	NM_001008727	0,701243	-1,1724	0,0580107	-2,5188	0,101089	-2,14841
TPT1	NM_003295	0,583979	-1,35797	0,0540299	-3,54009	0,120032	-2,6069
KLHDC10	D87454	0,690477	-1,20138	0,0587162	-2,77933	0,104558	-2,31345
EDF1	NM_003792	0,617631	-1,24188	0,0561399	-2,64415	0,11607	-2,12916
EIF1AX	NM_001412	0,397423	-1,78986	0,0501438	-4,7696	0,175972	-2,6648
U2AF1	NM_001025204	0,674161	1,18702	0,109564	-2,07225	0,0595278	-2,4598
CS	NM_004077	0,93266	1,05175	0,0843743	-3,26434	0,0747006	-3,43327
KRR1	NM_007043	0,905732	1,04374	0,0868629	-2,03135	0,0732299	-2,1202
PSMB2	NM_002794	0,319592	-2,5004	0,0519605	-7,71331	0,230713	-3,08483
CCL2	NM_002982	0,444681	-1,45021	0,0549954	-2,94547	0,169992	-2,03107
RPS6KB1	NM_003161	0,991162	-1,00457	0,0828151	-2,27352	0,0841487	-2,26318
SMAD2	NM_005901	0,274534	-2,15814	0,0552645	-4,5654	0,285967	-2,11543
KIAA0174	NM_014761	0,979454	-1,0151	0,0856386	-3,14855	0,0888817	-3,10173
EIF3L	NM_016091	0,593218	-1,27877	0,0655108	-2,66637	0,142917	-2,0851
SERPINB12	NM_080474	0,674134	-1,23371	0,0690714	-2,86066	0,127302	-2,31874
DNAJB4	NM_007034	0,713432	1,16034	0,121176	-2,00745	0,071101	-2,32934
HIST2H2AB	NM_175065	0,903864	1,06314	0,1002	-2,56964	0,0841526	-2,7319
CHMP4B	NM_176812	0,587028	-1,34044	0,0673251	-3,12246	0,148866	-2,32942
ANKRD49	NM_017704	0,829494	-1,10157	0,0797206	-2,47462	0,108868	-2,24644
HSPH1	NM_006644	0,569232	-1,32973	0,0671126	-2,87623	0,154288	-2,16303
HNRNPH3	NM_012207	0,804038	1,10426	0,113579	-2,02991	0,0792975	-2,24156
EIF3E	NM_001568	0,421158	1,54798	0,20788	-2,04273	0,0632808	-3,1621
ERH	NM_004450	0,477505	-1,78244	0,0663118	-5,52742	0,188593	-3,10105
FOXK2	NM_004514	0,889723	1,10094	0,107178	-3,52046	0,0877065	-3,87581
SS18L2	NM_016305	0,692014	-1,18503	0,0781583	-2,37751	0,139009	-2,00628
ANKRD50	NM_020337	0,909355	-1,04614	0,0962785	-2,11407	0,113507	-2,02082
NRIP1	NM_003489	0,696987	-1,19153	0,0830705	-2,4369	0,146273	-2,04518
ANXA2P2	NR_003573	0,90224	1,08143	0,118498	-3,04201	0,0992152	-3,28972
RABL2B	NM_001130921	0,746408	-1,1831	0,0882642	-2,74416	0,141086	-2,31948
XPNPEP1	NM_020383	0,832944	-1,12193	0,100056	-2,7583	0,135759	-2,45853
PSMB7	NM_002799	0,904096	-1,05222	0,106007	-2,15968	0,126172	-2,0525
